"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2017,26568253,1,26588538
2017,26568272,1,26588557
2017,26568292,1,26588577
2017,26568484,1,26588769
2017,26569140,1,26589428
2017,26569243,1,26589531
2017,26569379,1,26589667
2017,26569492,1,26589782
2017,26569499,1,26589789
2017,26569749,1,26590039
2017,26569943,3,26590234
2017,26569954,1,26590244
2017,26570108,1,26590398
2017,26570754,7,26591045
2017,26571725,1,26592015
2017,26571968,1,26592258
2017,26572261,1,26592552
2017,26573102,1,26593394
2017,26574945,1,26595237
2017,26575071,1,26595363
2017,26575072,1,26595364
2017,26575426,1,26595720
2017,26575428,6,26595722
2017,26575504,1,26595798
2017,26576241,1,26596538
2017,26576850,1,26597146
2017,26577243,1,26597539
2017,26577664,1,26597961
2017,26577879,1,26598177
2017,26578090,1,26598388
2017,26578114,1,26598412
2017,26578157,2,26598454
2017,26572726,1,26593019
2017,26573158,1,26593450
2017,26574013,1,26594304
2017,27096621,1,27117997
2017,27096787,1,27118159
2017,27096931,1,27118307
2017,26563623,1,26583898
2017,26565553,1,26585831
2017,26565560,1,26585838
2017,26565518,1,26585797
2017,26565640,1,26585919
2017,26565776,1,26586054
2017,26565782,1,26586060
2017,26565805,7,26586083
2017,26565833,1,26586111
2017,26565930,1,26586207
2017,26568256,1,26588541
2017,26568313,1,26588599
2017,26568316,1,26588603
2017,26568433,1,26588718
2017,26568487,1,26588772
2017,26575134,1,26595429
2017,26575322,1,26595616
2017,26575329,1,26595619
2017,26575431,1,26595725
2017,26575821,1,26596117
2017,26575827,1,26596122
2017,26575930,6,26596227
2017,26576096,1,26596392
2017,26577007,1,26597303
2017,26577245,1,26597541
2017,26577630,1,26597928
2017,26577852,1,26598151
2017,26577850,1,26598149
2017,26577854,1,26598152
2017,26577881,7,26598179
2017,26577882,1,26598180
2017,26577883,1,26598181
2017,26578098,1,26598396
2017,26578101,1,26598402
2017,26578126,1,26598424
2017,26578129,1,26598427
2017,26578152,1,26598452
2017,26578148,1,26598446
2017,26578151,1,26598450
2017,26578156,1,26598456
2017,26578159,5,26598459
2017,26401957,1,26422060
2017,26402335,1,26422437
2017,26403226,1,26423328
2017,26403225,1,26423327
2017,26403278,1,26423380
2017,26403290,1,26423392
2017,26404386,1,26424489
2017,26405812,1,26425918
2017,26565794,1,26586071
2017,26565878,1,26586156
2017,26568396,1,26588682
2017,26568661,1,26588948
2017,26569303,1,26589591
2017,26569393,1,26589681
2017,26570910,1,26591200
2017,26571730,1,26592020
2017,26571889,1,26592179
2017,27557683,1,27579657
2017,27557699,1,27579673
2017,27557719,21,27579693
2017,27557746,1,27579720
2017,27557748,1,27579722
2017,27557744,1,27579718
2017,27557764,1,27579738
2017,27557765,1,27579739
2017,27557763,1,27579737
2017,27557762,1,27579736
2017,27557851,1,27579824
2017,27557887,1,27579861
2017,27557920,1,27579894
2017,27557934,1,27579908
2017,27558112,1,27580086
2017,27558146,1,27580120
2017,27558165,1,27580139
2017,27558164,4,27580138
2017,27558170,1,27580144
2017,27558185,7,27580159
2017,27558230,5,27580204
2017,27558251,1,27580225
2017,27568250,1,27590233
2017,27568342,1,27590324
2017,26569990,1,26590279
2017,27568899,1,27590881
2017,27568904,1,27590886
2017,27568998,1,27590980
2017,27569006,1,27590989
2017,26570785,1,26591076
2017,26570929,1,26591218
2017,27569503,1,27591488
2017,26571492,1,26591782
2017,27569969,2,27591957
2017,27570002,2,27591990
2017,26573008,1,26593299
2017,26574269,1,26594562
2017,26574272,1,26594564
2017,26575117,1,26595412
2017,26575133,1,26595427
2017,26575315,1,26595609
2017,26575898,1,26596192
2017,26576509,1,26596805
2017,26576904,1,26597200
2017,26576928,1,26597224
2017,26573164,1,26593457
2017,26573168,2,26593460
2017,26573723,1,26594016
2017,26573748,1,26594040
2017,26573742,1,26594034
2017,26573747,1,26594036
2017,26574405,1,26594698
2017,26574445,1,26594739
2017,26399913,1,26420016
2017,26399916,1,26420018
2017,26400967,1,26421070
2017,26401012,1,26421114
2017,26401808,1,26421911
2017,26405779,1,26425884
2017,26406814,1,26426920
2017,27791353,1,27815172
2017,27791588,7,27815406
2017,27791699,1,27815517
2017,27791724,1,27815544
2017,27792076,1,27815896
2017,27792121,1,27815941
2017,27792260,1,27816081
2017,27793189,1,27817011
2017,27793238,1,27817060
2017,26407388,1,26427494
2017,26408579,1,26428688
2017,26408585,1,26428693
2017,28658877,1,28683850
2017,28658942,1,28683916
2017,27103397,1,27124779
2017,27103409,1,27124790
2017,27103459,1,27124841
2017,27103624,1,27125006
2017,27103696,1,27125075
2017,27103887,1,27125269
2017,27103928,1,27125310
2017,27103971,1,27125353
2017,27103980,1,27125362
2017,27104011,1,27125392
2017,27104003,1,27125385
2017,27104179,1,27125562
2017,27104232,1,27125615
2017,27104295,1,27125678
2017,27104355,1,27125737
2017,27104481,1,27125864
2017,27104489,1,27125873
2017,27104509,1,27125892
2017,27104689,1,27126072
2017,27105229,1,27126613
2017,27105279,1,27126663
2017,27105325,1,27126708
2017,26563521,1,26583797
2017,26563523,1,26583798
2017,26563628,1,26583903
2017,26563806,1,26584082
2017,26565525,1,26585804
2017,26565530,1,26585809
2017,26565554,1,26585832
2017,26565575,1,26585853
2017,26565598,1,26585878
2017,26565635,1,26585913
2017,26565711,1,26585989
2017,26565714,1,26585992
2017,26565806,1,26586084
2017,26565810,1,26586087
2017,26400738,1,26420840
2017,26400772,1,26420874
2017,26400808,1,26420911
2017,26402975,1,26423077
2017,26407100,1,26427204
2017,26407110,1,26427215
2017,26407977,1,26428085
2017,26406673,1,26426778
2017,26409208,1,26429319
2017,28664466,1,28689441
2017,28664945,1,28689921
2017,28665168,1,28690144
2017,28665217,1,28690195
2017,28667277,1,28692256
2017,28668001,1,28692982
2017,26568783,1,26589070
2017,26568781,1,26589067
2017,26568893,1,26589181
2017,26569142,1,26589430
2017,26569584,1,26589874
2017,26569664,1,26589954
2017,26569922,1,26590211
2017,26569952,1,26590242
2017,26570260,1,26590550
2017,26570321,1,26590611
2017,26570845,1,26591135
2017,26571060,1,26591350
2017,26571061,1,26591351
2017,26571465,1,26591756
2017,26571535,1,26591825
2017,26572133,1,26592423
2017,26572267,1,26592558
2017,26572262,1,26592553
2017,26565535,1,26585812
2017,26565811,1,26586089
2017,26565812,1,26586090
2017,26568268,1,26588552
2017,26568280,1,26588564
2017,26568338,1,26588624
2017,26568355,1,26588641
2017,26568352,1,26588633
2017,26568486,1,26588773
2017,26569079,1,26589366
2017,26569315,1,26589603
2017,26569469,1,26589759
2017,26569485,1,26589775
2017,26569589,1,26589879
2017,26569692,1,26589982
2017,26569961,1,26590251
2017,26570129,1,26590420
2017,26570336,1,26590625
2017,26570851,1,26591141
2017,26570852,1,26591142
2017,26571067,7,26591357
2017,26571119,1,26591409
2017,26572012,1,26592301
2017,26572229,1,26592520
2017,26572243,1,26592533
2017,26572245,1,26592535
