"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2017,7662900,15287,3,2017,"Z",01-MAR-03,"Y","F","C","2017_03_OK0671300_NIBRS",8694945,0
2017,7690786,15287,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OK0671300_NIBRS",9823503,0
2017,7716757,15287,5,2017,"Z",01-MAY-05,"Y","F","C","2017_05_OK0671300_NIBRS",10709966,0
2017,7744192,15287,6,2017,"Z",01-JUN-06,"Y","F","C","2017_06_OK0671300_NIBRS",11508469,0
2017,7778724,15287,7,2017,"Z",01-JUL-07,"Y","F","C","2017_07_OK0671300_NIBRS",13132407,0
2017,7795967,15287,8,2017,"Z",01-AUG-08,"Y","F","C","2017_08_OK0671300_NIBRS",14073212,0
2017,7814562,15287,9,2017,"Z",01-SEP-09,"Y","F","C","2017_09_OK0671300_NIBRS",14698713,0
2017,7836723,15287,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OK0671300_NIBRS",19458353,0
2017,7883370,15287,11,2017,"Z",01-NOV-11,"Y","F","C","2017_11_OK0671300_NIBRS",16857208,0
2017,7927279,15287,12,2017,"Z",01-DEC-12,"Y","F","C","2017_12_OK0671300_NIBRS",18099784,0
2017,7838203,15343,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OKDI00400_NIBRS",19470252,0
2017,7883336,15343,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OKDI00400_NIBRS",19470345,0
2017,7838204,15343,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_OKDI00400_NIBRS",25563776,0
2017,7609294,15131,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OK0420000_NIBRS",21521758,0
2017,7638793,15131,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OK0420000_NIBRS",21521799,0
2017,7661964,15131,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OK0420000_NIBRS",22261298,0
2017,7690675,15131,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OK0420000_NIBRS",21521923,0
