"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2017,5,98616143,1,1,8297166
2017,12,98616205,1,11,8297172
2017,12,98618509,4,1,8297369
2017,12,98619960,3,9,8297554
2017,5,98620076,8,1,8297571
2017,5,98622423,0,1,8297870
2017,5,98622822,4,1,8297913
2017,1,98622985,4,1,8297933
2017,15,98624363,3,9,8298138
2017,5,98625040,1,3,8298192
2017,12,98625247,10,1,8298213
2017,17,98625247,1,9,8298210
2017,12,98626199,1,1,8298348
2017,8,98626199,1,1,8298347
2017,5,98626741,7,1,8298394
2017,12,98629585,1,9,8298693
2017,12,98629675,3,9,8298719
2017,5,98631231,0,1,8298870
2017,12,98633517,2,1,8299134
2017,16,98633517,12,9,8299133
2017,12,98633535,0,1,8299141
2017,17,98636257,22,9,8299537
2017,12,98636760,0,1,8299582
2017,5,98636780,0,1,8299594
2017,5,98636838,1,11,8299619
2017,5,98636874,1,11,8299625
2017,2,98637105,1,11,8299675
2017,5,99621446,10,1,8429790
2017,5,99624442,1,1,8430176
2017,5,99628960,1,3,8430930
2017,16,99637110,1,1,8431903
2017,5,98623572,1,1,8298055
2017,12,98624082,0,1,8298106
2017,12,98624933,1,11,8298183
2017,5,98625070,0,1,8298193
2017,16,98625306,3,9,8298226
2017,12,98626267,2,1,8298362
2017,12,98627997,1,11,8298543
2017,5,98631420,130,1,8298884
2017,17,98632018,1,11,8298934
2017,12,98635402,1,9,8299457
2017,12,98636765,125,1,8299585
2017,12,98636784,0,1,8299597
2017,5,98636896,5,1,8299631
2017,5,98636973,10,1,8299651
2017,16,98637109,2,9,8299677
2017,5,98637265,30,1,8299717
2017,12,97136795,1,1,8078946
2017,2,97137208,0,1,8079011
2017,12,97140163,1,1,8079422
2017,5,97140163,450,1,8079423
2017,17,97140163,1,1,8079424
2017,5,97152525,3,1,8081077
2017,5,97152578,1,1,8081082
2017,12,97153654,1,9,8081192
2017,17,97154518,1,9,8081305
2017,5,97155701,1,1,8081493
2017,12,97157350,1,1,8081654
2017,5,97163555,1,3,8082428
2017,5,97164610,1,1,8082573
2017,5,97176244,0,1,8084053
2017,5,97177419,0,4,8084210
2017,12,97179242,1,1,8084495
2017,5,97188213,1,1,8085820
2017,5,97188546,3,1,8085909
