"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2017,101538108,2,258,,107904873
2017,101538132,7,200,,107904912
2017,101538235,3,200,,107905042
2017,101538478,63,250,,107905359
2017,101538597,63,50,,107905511
2017,101538762,63,65,,107905704
2017,101538762,38,15,,107905707
2017,101539374,10,,,107906557
2017,101539623,63,5000,,107906908
2017,101539773,38,200,,107907130
2017,102602117,16,430,,109293435
2017,102602115,16,430,22-JUN-17,109293428
2017,102602244,36,400,,109293594
2017,102602305,8,3,,109293668
2017,102602531,11,16,,109293965
2017,102602917,3,250,,109294525
2017,102602972,11,5,,109294612
2017,102602972,10,,,109294607
2017,102603022,52,0,,109294684
2017,102267107,42,200,,108851171
2017,102267259,13,350,,108851376
2017,102267463,20,1700,,108851659
2017,102268012,7,350,,108852379
2017,102268012,13,1700,,108852378
2017,102268149,20,2,,108852546
2017,102268149,38,35,,108852545
2017,102268277,8,148,,108852724
2017,102268621,9,0,,108853138
2017,102268661,17,1500,,108853196
2017,102269095,64,200,,108853771
2017,102269095,16,800,,108853768
2017,102269217,37,24000,,108853932
2017,102269244,7,500,,108853969
2017,102269318,20,300,,108854071
2017,102269343,16,55,,108854100
2017,102269338,16,55,28-NOV-17,108854096
2017,102269510,13,1100,,108854297
2017,102269532,17,150,,108854325
2017,102269532,6,200,,108854324
2017,102269532,21,50,,108854326
2017,102269551,19,843,,108854353
2017,102269740,63,930,,108854604
2017,102269751,6,300,,108854619
2017,102269816,12,2,,108854709
2017,102269816,63,20,,108854706
2017,102270112,63,1,,108855103
2017,102270144,62,500,,108855145
2017,102270271,10,,,108855336
2017,102270271,11,10,,108855337
2017,102270779,63,220,,108855973
2017,102271089,17,2802,,108856400
2017,102272002,10,,,108857583
2017,102272109,20,2,,108857737
2017,102272171,26,3000,,108857825
2017,102272171,64,2000,,108857826
2017,102272250,36,435,,108857934
2017,102272365,63,25,,108858087
2017,102272474,25,25,,108858234
2017,102272474,6,200,,108858231
2017,102272486,20,7332,,108858257
2017,102272528,19,9,,108858307
2017,102272524,19,9,12-DEC-17,108858299
2017,102272684,20,22,,108858497
2017,102272684,63,40,,108858495
2017,102273256,10,20,,108859242
2017,102273408,10,,,108859460
2017,102273427,10,,,108859493
2017,102273571,38,150,,108859665
2017,102273642,20,150,,108859771
2017,102273637,9,0,19-DEC-17,108859767
2017,102273642,25,60,,108859773
2017,102273637,25,30,19-DEC-17,108859766
